"고유번호",법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
4874040026105020000,4874040026,경상남도 창녕군 도천면 논리,1,일반,502,4874040026105020000,2017,01,1,1,393,393,161.94,161.94,69400000,N,2017-11-27
4874040026105050000,4874040026,경상남도 창녕군 도천면 논리,1,일반,505,4874040026105050000,2017,01,1,1,112,112,49.6,49.6,4010000,N,2017-11-27
4874040026105060000,4874040026,경상남도 창녕군 도천면 논리,1,일반,506,4874040026105060000,2017,01,1,1,579,579,96.45,96.45,46600000,N,2017-11-27
4874040026105070000,4874040026,경상남도 창녕군 도천면 논리,1,일반,507,4874040026105070000,2017,01,1,1,403,403,81.29,81.29,39200000,N,2017-11-27
4874040026105090000,4874040026,경상남도 창녕군 도천면 논리,1,일반,509,4874040026105090000,2017,01,1,1,304,304,76,76,10800000,N,2017-11-27
4874040026105100000,4874040026,경상남도 창녕군 도천면 논리,1,일반,510,4874040026105100000,2017,01,1,1,525,525,145,145,37000000,N,2017-11-27
4874040026105110003,4874040026,경상남도 창녕군 도천면 논리,1,일반,511-3,4874040026105110003,2017,01,1,1,298,298,52.8,52.8,9760000,N,2017-11-27
4874040026105140000,4874040026,경상남도 창녕군 도천면 논리,1,일반,514,4874040026105140000,2017,01,1,1,496,496,80,80,17100000,N,2017-11-27
4874040026105160000,4874040026,경상남도 창녕군 도천면 논리,1,일반,516,4874040026105160000,2017,01,1,1,344,344,80.8,80.8,7720000,N,2017-11-27
4874040026105180000,4874040026,경상남도 창녕군 도천면 논리,1,일반,518,4874040026105180000,2017,01,1,1,271,271,70,70,11400000,N,2017-11-27
4874040026105190001,4874040026,경상남도 창녕군 도천면 논리,1,일반,519-1,4874040026105190001,2017,01,1,1,343,343,154.8,154.8,32500000,N,2017-11-27
4874040026105230001,4874040026,경상남도 창녕군 도천면 논리,1,일반,523-1,4874040026105230001,2017,01,1,1,231,231,196.54,196.54,24200000,N,2017-11-27
