"고유번호",법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
3011011400103530026,3011011400,대전광역시 동구 가양동,1,일반,0353-0026,3011011400103530026,2019,01,1,1,149.1,149.1,131.45,131.45,117000000,N,2019-07-19
3011011400103530027,3011011400,대전광역시 동구 가양동,1,일반,0353-0027,3011011400103530027,2019,01,1,1,119.2,119.2,64.46,64.46,74800000,N,2019-07-19
3011011400103530028,3011011400,대전광역시 동구 가양동,1,일반,0353-0028,3011011400103530028,2019,01,2,2,155.6,155.6,122.42,122.42,137000000,N,2019-07-19
3011011400103540003,3011011400,대전광역시 동구 가양동,1,일반,0354-0003,3011011400103540003,2019,01,2,2,362.1,362.1,154.55,154.55,342000000,N,2019-07-19
3011011400103540004,3011011400,대전광역시 동구 가양동,1,일반,0354-0004,3011011400103540004,2019,01,1,1,132.6,53.69,84.1,34.05,51300000,N,2019-07-19
3011011400103540007,3011011400,대전광역시 동구 가양동,1,일반,0354-0007,3011011400103540007,2019,01,1,1,171.4,171.4,144.53,144.53,141000000,N,2019-07-19
3011011400103540008,3011011400,대전광역시 동구 가양동,1,일반,0354-0008,3011011400103540008,2019,01,1,1,179.7,179.7,172.01,172.01,145000000,N,2019-07-19
3011011400103540009,3011011400,대전광역시 동구 가양동,1,일반,0354-0009,3011011400103540009,2019,01,1,1,115.7,69.66,169.42,102,70900000,N,2019-07-19
3011011400103540011,3011011400,대전광역시 동구 가양동,1,일반,0354-0011,3011011400103540011,2019,01,0,0,160,160,71.3,71.3,150000000,N,2019-07-19
3011011400103540012,3011011400,대전광역시 동구 가양동,1,일반,0354-0012,3011011400103540012,2019,01,1,1,279,131.6,74.5,74.5,101000000,N,2019-07-19
3011011400103540012,3011011400,대전광역시 동구 가양동,1,일반,0354-0012,3011011400103540012,2019,01,2,2,279,147.4,127.37,127.37,115000000,N,2019-07-19
3011011400103540014,3011011400,대전광역시 동구 가양동,1,일반,0354-0014,3011011400103540014,2019,01,1,1,150.5,150.5,112.75,112.75,118000000,N,2019-07-19
3011011400103540015,3011011400,대전광역시 동구 가양동,1,일반,0354-0015,3011011400103540015,2019,01,0,0,158.7,158.7,94.22,94.22,152000000,N,2019-07-19
3011011400103540016,3011011400,대전광역시 동구 가양동,1,일반,0354-0016,3011011400103540016,2019,01,1,1,265.4,241.01,198.23,180.02,262000000,N,2019-07-19
3011011400103540018,3011011400,대전광역시 동구 가양동,1,일반,0354-0018,3011011400103540018,2019,01,1,1,195.8,195.8,214.64,214.64,191000000,N,2019-07-19
3011011400103540019,3011011400,대전광역시 동구 가양동,1,일반,0354-0019,3011011400103540019,2019,01,1,1,144.5,144.5,104,104,112000000,N,2019-07-19
3011011400103540020,3011011400,대전광역시 동구 가양동,1,일반,0354-0020,3011011400103540020,2019,01,0,0,200.5,200.5,188.29,188.29,174000000,N,2019-07-19
3011011400103540021,3011011400,대전광역시 동구 가양동,1,일반,0354-0021,3011011400103540021,2019,01,1,1,158.1,158.1,73.6,73.6,121000000,N,2019-07-19
3011011400103550001,3011011400,대전광역시 동구 가양동,1,일반,0355-0001,3011011400103550001,2019,01,2,2,203,203,275.81,275.81,181000000,N,2019-07-19
3011011400103550002,3011011400,대전광역시 동구 가양동,1,일반,0355-0002,3011011400103550002,2019,01,1,1,175.6,175.6,113.98,113.98,135000000,N,2019-07-19
3011011400103550003,3011011400,대전광역시 동구 가양동,1,일반,0355-0003,3011011400103550003,2019,01,1,1,129.3,129.3,144.86,144.86,106000000,N,2019-07-19
3011011400103550004,3011011400,대전광역시 동구 가양동,1,일반,0355-0004,3011011400103550004,2019,01,1,1,252,252,196.14,196.14,202000000,N,2019-07-19
3011011400103550007,3011011400,대전광역시 동구 가양동,1,일반,0355-0007,3011011400103550007,2019,01,1,1,140.8,140.8,138.94,138.94,120000000,N,2019-07-19
3011011400103550008,3011011400,대전광역시 동구 가양동,1,일반,0355-0008,3011011400103550008,2019,01,1,1,190.4,190.4,159.42,159.42,165000000,N,2019-07-19
3011011400103550009,3011011400,대전광역시 동구 가양동,1,일반,0355-0009,3011011400103550009,2019,01,0,0,151.4,151.4,84,84,148000000,N,2019-07-19
3011011400103550011,3011011400,대전광역시 동구 가양동,1,일반,0355-0011,3011011400103550011,2019,01,1,1,193.7,193.7,114.7,114.7,162000000,N,2019-07-19
3011011400103550012,3011011400,대전광역시 동구 가양동,1,일반,0355-0012,3011011400103550012,2019,01,1,1,91.2,91.2,148.95,148.95,83900000,N,2019-07-19
3011011400103550013,3011011400,대전광역시 동구 가양동,1,일반,0355-0013,3011011400103550013,2019,01,1,1,200.8,200.8,137.89,137.89,145000000,N,2019-07-19
3011011400103550015,3011011400,대전광역시 동구 가양동,1,일반,0355-0015,3011011400103550015,2019,01,1,1,199,199,102.69,102.69,153000000,N,2019-07-19
3011011400103550016,3011011400,대전광역시 동구 가양동,1,일반,0355-0016,3011011400103550016,2019,01,1,1,160,160,105.3,105.3,138000000,N,2019-07-19
3011011400103550018,3011011400,대전광역시 동구 가양동,1,일반,0355-0018,3011011400103550018,2019,01,1,1,185.8,185.8,198.93,198.93,137000000,N,2019-07-19
3011011400103550019,3011011400,대전광역시 동구 가양동,1,일반,0355-0019,3011011400103550019,2019,01,1,1,175.5,175.5,145.89,145.89,137000000,N,2019-07-19
3011011400103550020,3011011400,대전광역시 동구 가양동,1,일반,0355-0020,3011011400103550020,2019,01,1,1,194.9,194.9,198.29,198.29,163000000,N,2019-07-19
3011011400103550022,3011011400,대전광역시 동구 가양동,1,일반,0355-0022,3011011400103550022,2019,01,1,1,119.6,119.6,56.4,56.4,71800000,N,2019-07-19
3011011400103550023,3011011400,대전광역시 동구 가양동,1,일반,0355-0023,3011011400103550023,2019,01,0,0,160.5,160.5,62.08,62.08,97300000,N,2019-07-19
3011011400103550024,3011011400,대전광역시 동구 가양동,1,일반,0355-0024,3011011400103550024,2019,01,1,1,121.1,121.1,61.65,61.65,92600000,N,2019-07-19
3011011400103550025,3011011400,대전광역시 동구 가양동,1,일반,0355-0025,3011011400103550025,2019,01,1,1,147.9,147.9,108.81,108.81,115000000,N,2019-07-19
3011011400103560001,3011011400,대전광역시 동구 가양동,1,일반,0356-0001,3011011400103560001,2019,01,1,1,409.9,150.11,228.02,83.5,144000000,N,2019-07-19
3011011400103560010,3011011400,대전광역시 동구 가양동,1,일반,0356-0010,3011011400103560010,2019,01,0,0,173.2,173.2,201.66,201.66,156000000,N,2019-07-19
3011011400103560011,3011011400,대전광역시 동구 가양동,1,일반,0356-0011,3011011400103560011,2019,01,1,1,175.9,175.9,177.17,177.17,135000000,N,2019-07-19
